127.0.0.1, 2015-11-30 15:13:04, POST, /admin/default/index, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-11-30 15:13:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-11-30 15:13:06, POST, /admin/default/index, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-11-30 15:13:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-11-30 15:13:07, POST, /admin/default/index, HTTP/1.1, 303, 0.063000
127.0.0.1, 2015-11-30 15:13:07, GET, /admin/default/site, HTTP/1.1, 200, 0.085000
127.0.0.1, 2015-11-30 15:13:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-11-30 15:13:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.356000
127.0.0.1, 2015-11-30 15:13:33, POST, /admin/default/site, HTTP/1.1, 303, 2.064000
127.0.0.1, 2015-11-30 15:13:33, GET, /admin/default/site, HTTP/1.1, 200, 0.107000
127.0.0.1, 2015-11-30 15:13:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-11-30 15:13:35, GET, /hw5/default/index, HTTP/1.1, 303, 0.221000
127.0.0.1, 2015-11-30 15:13:35, GET, /hw5/default/show_boards, HTTP/1.1, 200, 0.138000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/web2py.js, HTTP/1.1, 200, 0.004000
